	race_id	horse_id	jockey_id	trainer_id	rank	sex	age	weight	weight_diff	tansho_odds	popularity	impost	wakuban	umaban
9	202205050606	2021104855	1102	1112	10	1	3	468	2	125.7	14	55.0	1	1
5	202205050606	2021105801	1092	1163	6	1	3	478	-2	13.5	4	55.0	2	2
14	202205050606	2021105414	1088	1137	15	1	3	524	2	6.8	3	55.0	2	3
6	202205050606	2021106550	1180	1151	7	1	3	458	6	18.1	7	55.0	3	4
0	202205050606	2021105643	5339	1126	1	1	3	490	8	2.3	1	55.0	3	5
10	202205050606	2021102597	660	1111	11	1	3	486	-2	145.2	15	55.0	4	6
7	202205050606	2021105384	1157	1117	8	1	3	460	4	55.5	12	55.0	4	7
8	202205050606	2021106823	1163	1115	9	1	3	444	-10	27.4	9	55.0	5	8
11	202205050606	2021105764	1170	1059	12	1	3	496	12	51.5	11	55.0	5	9
1	202205050606	2021107179	666	1038	2	1	3	448	0	14.6	5	55.0	6	10
13	202205050606	2021104427	1126	1146	14	1	3	446	8	16.7	6	55.0	6	11
3	202205050606	2021107098	1174	1186	4	1	3	478	2	123.2	13	55.0	7	12
4	202205050606	2021105799	1150	1169	5	1	3	464	4	19.7	8	55.0	7	13
2	202205050606	2021105743	5386	399	3	1	3	468	10	3.9	2	55.0	8	14
12	202205050606	2021103975	1093	1184	13	1	3	458	6	33.0	10	55.0	8	15
